"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","japanese","portuguese",
"tutorial_introduction1","Survive by any means necessary.","Survive by any means necessary.","Survive by any means necessary.","Survive by any means necessary.","Survive by any means necessary.","Survive by any means necessary.","Survive by any means necessary.","Survive by any means necessary.","Survive by any means necessary.","Survive by any means necessary.","Survive by any means necessary.","Survive by any means necessary.",
"tutorial_introduction2","Talk to people, but trust no one.","Talk to people, but trust no one.","Talk to people, but trust no one.","Talk to people, but trust no one.","Talk to people, but trust no one.","Talk to people, but trust no one.","Talk to people, but trust no one.","Talk to people, but trust no one.","Talk to people, but trust no one.","Talk to people, but trust no one.","Talk to people, but trust no one.","Talk to people, but trust no one.",
"tutorial_introduction3","If you die, you lose everything.","If you die, you lose everything.","If you die, you lose everything.","If you die, you lose everything.","If you die, you lose everything.","If you die, you lose everything.","If you die, you lose everything.","If you die, you lose everything.","If you die, you lose everything.","If you die, you lose everything.","If you die, you lose everything.","If you die, you lose everything.",
"tutorial_status_health","Health indicator in critical state","Health indicator in critical state","Health indicator in critical state","Health indicator in critical state","Health indicator in critical state","Health indicator in critical state","Health indicator in critical state","Health indicator in critical state","Health indicator in critical state","Health indicator in critical state","Health indicator in critical state","Health indicator in critical state",
"ps4_tutorial_guns3","To fire a gun hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. To use iron sights press <image set=""playstation_buttons"" name=""R1"" />. To switch to scope press <image set=""playstation_buttons"" name=""L1"" />.","To fire a gun hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. To use iron sights press <image set=""playstation_buttons"" name=""R1"" />. To switch to scope press <image set=""playstation_buttons"" name=""L1"" />.","To fire a gun hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. To use iron sights press <image set=""playstation_buttons"" name=""R1"" />. To switch to scope press <image set=""playstation_buttons"" name=""L1"" />.","To fire a gun hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. To use iron sights press <image set=""playstation_buttons"" name=""R1"" />. To switch to scope press <image set=""playstation_buttons"" name=""L1"" />.","To fire a gun hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. To use iron sights press <image set=""playstation_buttons"" name=""R1"" />. To switch to scope press <image set=""playstation_buttons"" name=""L1"" />.","To fire a gun hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. To use iron sights press <image set=""playstation_buttons"" name=""R1"" />. To switch to scope press <image set=""playstation_buttons"" name=""L1"" />.","To fire a gun hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. To use iron sights press <image set=""playstation_buttons"" name=""R1"" />. To switch to scope press <image set=""playstation_buttons"" name=""L1"" />.","To fire a gun hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. To use iron sights press <image set=""playstation_buttons"" name=""R1"" />. To switch to scope press <image set=""playstation_buttons"" name=""L1"" />.","To fire a gun hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. To use iron sights press <image set=""playstation_buttons"" name=""R1"" />. To switch to scope press <image set=""playstation_buttons"" name=""L1"" />.","To fire a gun hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. To use iron sights press <image set=""playstation_buttons"" name=""R1"" />. To switch to scope press <image set=""playstation_buttons"" name=""L1"" />.","To fire a gun hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. To use iron sights press <image set=""playstation_buttons"" name=""R1"" />. To switch to scope press <image set=""playstation_buttons"" name=""L1"" />.","To fire a gun hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. To use iron sights press <image set=""playstation_buttons"" name=""R1"" />. To switch to scope press <image set=""playstation_buttons"" name=""L1"" />.",
"tutorial_status_sickness","Sickness indicator","Sickness indicator","Sickness indicator","Sickness indicator","Sickness indicator","Sickness indicator","Sickness indicator","Sickness indicator","Sickness indicator","Sickness indicator","Sickness indicator","Sickness indicator",
"tutorial_status_temparature","Temperature indicator in normal state","Temperature indicator in normal state","Temperature indicator in normal state","Temperature indicator in normal state","Temperature indicator in normal state","Temperature indicator in normal state","Temperature indicator in normal state","Temperature indicator in normal state","Temperature indicator in normal state","Temperature indicator in normal state","Temperature indicator in normal state","Temperature indicator in normal state",
"tutorial_status_blood","Blood indicator","Blood indicator","Blood indicator","Blood indicator","Blood indicator","Blood indicator","Blood indicator","Blood indicator","Blood indicator","Blood indicator","Blood indicator","Blood indicator",
"ps4_tutorial_melee3","For normal hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. For heavy hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""triangle"" />.","For normal hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. For heavy hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""triangle"" />.","For normal hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. For heavy hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""triangle"" />.","For normal hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. For heavy hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""triangle"" />.","For normal hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. For heavy hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""triangle"" />.","For normal hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. For heavy hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""triangle"" />.","For normal hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. For heavy hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""triangle"" />.","For normal hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. For heavy hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""triangle"" />.","For normal hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. For heavy hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""triangle"" />.","For normal hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. For heavy hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""triangle"" />.","For normal hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. For heavy hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""triangle"" />.","For normal hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""R2"" />. For heavy hit hold <image set=""playstation_buttons"" name=""L2"" /> and press <image set=""playstation_buttons"" name=""triangle"" />.",
"tutorial_guns1","Firearms have a variety of attachments like scopes, silencers, different types of magazines...","Firearms have a variety of attachments like scopes, silencers, different types of magazines...","Firearms have a variety of attachments like scopes, silencers, different types of magazines...","Firearms have a variety of attachments like scopes, silencers, different types of magazines...","Firearms have a variety of attachments like scopes, silencers, different types of magazines...","Firearms have a variety of attachments like scopes, silencers, different types of magazines...","Firearms have a variety of attachments like scopes, silencers, different types of magazines...","Firearms have a variety of attachments like scopes, silencers, different types of magazines...","Firearms have a variety of attachments like scopes, silencers, different types of magazines...","Firearms have a variety of attachments like scopes, silencers, different types of magazines...","Firearms have a variety of attachments like scopes, silencers, different types of magazines...","Firearms have a variety of attachments like scopes, silencers, different types of magazines...",
